#bestFitness averageFitness averageUsedGeneLength time invalids varFitness aveLength aveDerivationTreeDepth SlopeMutRate
12.532372479999985 8445.207191029027 15.940700808625337 666 29 1.8251780387854378E10 200.0 4.196765498652291 0.0
12.532372479999985 463.0076885857663 11.53 395 0 19803.657380959696 200.0 3.57 0.0
12.532372479999985 386.66332860717665 13.24 176 0 21015.509757193926 200.0 3.9375 0.0
12.532372479999985 323.5054695783672 15.78 103 0 24918.142130386885 200.0 4.3925 0.0
12.532372479999985 247.30923791026026 17.11 102 0 23497.016634516713 200.0 4.7525 0.0
7.890590948076059 195.8389679123056 18.77 91 0 29816.316937664542 200.0 5.135 0.01
4.411732479999999 133.75752881333972 15.78 75 0 17946.73230640837 200.0 4.9275 0.01
4.411732479999999 75.9580719184498 15.3 69 0 9887.540860350786 200.0 4.9925 0.01
4.411732479999999 62.27532946226737 15.33 94 0 13932.997652082853 200.0 5.0025 0.01
4.411732479999999 47.63809944385555 16.67 57 0 11709.428909974971 200.0 5.2875 0.01
4.411732479999999 36.54491730341329 18.42 68 0 6922.192116939281 200.0 5.575 0.01
2.843451083496203 52.03186414415123 19.58 65 0 12219.172838584023 200.0 5.655 0.02
2.843451083496203 43.88878988176103 19.67 75 0 10421.955265771605 200.0 5.7075 0.01
2.843451083496203 53.68838958609178 21.97 96 0 15772.422835524258 200.0 5.905 0.01
2.843451083496203 108.41891369541734 25.34 151 0 78598.9915945096 200.0 6.37 0.01
2.843451083496203 65.15428375816978 26.3 74 0 23458.13759543912 200.0 6.4425 0.01
2.843451083496203 118.13326767918545 27.06 85 0 141274.8774994138 200.0 6.575 0.02
1.0 61.27882308609208 24.92 88 0 20130.58357963403 200.0 6.2425 0.03
1.0 45.812853986795616 24.65 60 0 12685.287428609845 200.0 6.1475 0.01
1.0 50.36493352187825 26.44 58 0 17840.34209828397 200.0 6.3725 0.01
1.0 188.29738535657162 27.36 48 0 1552556.5266066708 200.0 6.49 0.01
1.0 82.97461287969523 28.29 57 0 64453.98299920056 200.0 6.5875 0.01
1.0 71.02106318433252 29.83 79 0 29766.679316704216 200.0 6.71 0.02
1.0 121.68895118832359 30.59 86 0 190330.04932125888 200.0 6.76 0.03
1.0 76.70767357308424 31.22 75 0 25908.970748880358 200.0 6.9025 0.04
1.0 65.70204625075172 29.97 60 0 19658.472409009813 200.0 6.7325 0.05
1.0 76.12177002282837 32.95 45 0 25655.161662145216 200.0 7.045 0.060000000000000005
1.0 121.88261121617012 35.31 42 0 119072.57929412414 200.0 7.355 0.07
1.0 79.58477056572735 34.0 48 0 34615.69724757992 200.0 7.1625 0.08
1.0 72.3230677487897 35.89 41 0 15898.806337312677 200.0 7.3375 0.09
1.0 84.13722436664445 36.78 44 0 46356.151207033545 200.0 7.51 0.09999999999999999
1.0 64.44912225978011 35.39 48 0 27512.962481184128 200.0 7.37 0.10999999999999999
1.0 87.03054595717133 36.18 46 0 34365.41725592557 200.0 7.3875 0.11999999999999998
1.0 65.33262897036592 34.88 43 0 17408.455788461564 200.0 7.2825 0.12999999999999998
1.0 91.3015422923597 39.22 45 0 50166.221571387854 200.0 7.8025 0.13999999999999999
1.0 79.77746548048724 36.99 33 0 36667.49121830787 200.0 7.535 0.15
1.0 77.3381381761007 36.88 37 0 25309.947134871356 200.0 7.575 0.16
1.0 89.34667723358469 36.46 35 0 32809.43964615733 200.0 7.4975 0.17
1.0 99.68172293982344 36.43 41 0 71810.53637371249 200.0 7.51 0.18000000000000002
1.0 59.207220121591256 36.88 44 0 13726.52448742486 200.0 7.5325 0.19000000000000003
1.0 65.16755230362205 36.8 57 0 31447.902449689955 200.0 7.5125 0.20000000000000004
1.0 71.23292136596714 37.1 46 0 18993.373374433824 200.0 7.545 0.21000000000000005
1.0 80.83937095547823 39.65 49 0 40499.978540456184 200.0 7.81 0.22000000000000006
1.0 74.86626329052591 40.2 42 0 57637.19529836795 200.0 7.9025 0.23000000000000007
1.0 69.13190629338067 38.61 51 0 20898.53750781781 200.0 7.63 0.24000000000000007
1.0 80.4590184928887 38.62 45 0 27158.337219536526 200.0 7.65 0.25000000000000006
1.0 79.16144495311845 38.33 20 0 71572.16186735666 200.0 7.6575 0.26000000000000006
