#bestFitness averageFitness averageUsedGeneLength time invalids varFitness aveLength aveDerivationTreeDepth SlopeMutRate
6.15711999999999 1528.7494263723274 16.483516483516482 1336 36 2.2866972145846775E8 200.0 4.178571428571429 0.0
5.77621248000001 461.6657700876535 10.77 768 0 25468.363206267662 200.0 3.59 0.0
3.858793746578667 382.292998666998 11.25 224 0 28877.95269068407 200.0 3.8525 0.0
3.858793746578667 306.58602047763486 15.04 216 0 30861.578430613423 200.0 4.64 0.0
3.858793746578667 266.80354236079586 19.87 178 0 44557.4380055133 200.0 5.575 0.0
3.858793746578667 266.1006847492063 24.04 152 0 108997.66657315144 200.0 6.4775 0.01
3.858793746578667 204.5482906058262 24.45 108 0 71853.67945307135 200.0 6.6525 0.01
3.858793746578667 211.9879296588497 28.42 200 0 225034.59248080224 200.0 7.38 0.02
3.8587937465786615 170.7239867012512 29.59 156 0 76487.52161001123 200.0 7.5625 0.03
3.8587937465786615 274.45837599565624 32.88 135 0 325259.23140475294 200.0 7.8325 0.01
3.8587937465786615 211.6509878809095 32.45 128 0 93887.89408578046 200.0 7.865 0.01
3.8587937465786615 301.2322057116546 34.03 115 0 812765.8998040856 200.0 7.96 0.01
3.8587937465786615 217.94914969274276 33.86 113 0 105399.24355951353 200.0 7.93 0.01
0.9144716050526431 211.07304244428957 34.32 136 0 96941.8736566735 200.0 8.0325 0.02
0.9144716050526431 245.8758439085329 36.84 291 0 133292.94249807473 200.0 8.34 0.01
0.9144716050526431 330.2880864744336 38.45 146 0 308949.0726260811 200.0 8.485 0.01
0.9144716050526431 58047.860831781436 39.53061224489796 117 8 1.3005708028584534E12 200.0 8.732142857142858 0.01
0.9144716050526431 523.4351646080187 40.04 118 0 5746609.101767958 200.0 8.8925 0.01
0.9144716050526427 5118.97741196811 40.130653266331656 138 2 8.819141338374193E9 200.0 9.032663316582914 0.02
0.9144716050526427 478.20165670938775 40.84848484848485 123 4 8442528.398317767 200.0 9.191919191919192 0.01
0.9144716050526427 268.00143840975477 37.07 124 0 209548.41023460892 200.0 8.895 0.01
0.9144716050526427 225.79719996074047 36.01 120 0 120470.48778474676 200.0 8.955 0.01
0.9144716050526427 180.51317502909507 34.46 132 0 130182.86733820135 200.0 8.89 0.01
0.7921156843419714 125.633241610972 34.15 138 0 49557.619378915646 200.0 8.925 0.02
0.7921156843419714 79.93671714421461 35.31 100 0 16934.15145234569 200.0 9.08 0.01
0.7921156843419714 142.38805829217748 36.72 80 0 105701.63351636993 200.0 9.3525 0.01
0.7921156843419714 140.95390797341435 36.99 84 0 92296.99022451855 200.0 9.4325 0.01
0.7921156843419714 165.55228654320229 36.54 65 0 141806.66546095637 200.0 9.33 0.01
0.7921156843419714 120.18952980813174 37.94 54 0 47019.355286895225 200.0 9.4825 0.02
0.7921156843419714 103.96854392339864 37.0 44 0 51042.571241070924 200.0 9.3525 0.03
0.7921156843419714 167.17752771329907 37.04 42 0 188893.1685292956 200.0 9.31 0.04
0.7921156843419714 150.74799849334013 38.07 66 0 111865.10824965498 200.0 9.35 0.05
0.6644716050526427 334.19431656141 39.3 51 0 1246897.750985008 200.0 9.465 0.060000000000000005
0.6644716050526427 187.72589944451636 40.58 56 0 230082.65824188318 200.0 9.5625 0.01
0.6644716050526427 163.66123003267293 40.24 43 0 181940.1097314766 200.0 9.5275 0.01
0.6644716050526427 248.1398230179055 41.92 45 0 598880.3775268645 200.0 9.6625 0.01
0.6644716050526427 146.2838318456091 42.48 49 0 119272.19921486647 200.0 9.6925 0.01
0.6644716050526427 296.51294295809157 43.32 45 0 1100341.841631517 200.0 9.8225 0.02
0.6644716050526422 1341.3113755846246 44.04 80 0 2.1746382770800027E8 200.0 9.8525 0.03
0.6644716050526422 8548.844815933422 44.321608040201006 96 2 1.3142501390691757E10 200.0 9.861809045226131 0.01
0.6644716050526421 430.57582977145057 42.663316582914575 49 2 1.3187064753052626E7 200.0 9.698492462311558 0.01
0.5265873393881864 104.60106400364198 40.65 44 0 37875.702101991345 200.0 9.5325 0.01
0.5265873393881864 353.72329302714576 42.78 56 0 7113967.053220871 200.0 9.8 0.01
0.5265873393881864 78282.4200050486 42.482412060301506 59 2 2.403587094596825E12 200.0 9.796482412060302 0.01
0.5265873393881864 526.6672422838434 39.06 46 0 4.13962284428962E7 200.0 9.545 0.01
0.5265873393881864 106.14778991187279 38.2 41 0 31806.237380202612 200.0 9.5 0.01
0.525679031391511 114.88069446599347 40.11 46 0 43199.99111665675 200.0 9.5725 0.02
0.525679031391511 269.65862366638873 44.86 66 0 1637406.2690518207 200.0 10.195 0.01
0.525679031391511 120.86811150117272 40.95 59 0 64747.924326705404 200.0 9.7525 0.01
0.525679031391511 184.8900682724507 44.33 48 0 384302.00972905144 200.0 10.11 0.01
0.525679031391511 94.65869917240367 42.45 42 0 25406.265392580037 200.0 9.87 0.01
0.525679031391511 101.47119511983152 43.32 64 0 41955.623460344505 200.0 10.0275 0.02
0.525679031391511 85.81478719226718 42.28 64 0 30398.943180133312 200.0 10.13 0.03
0.525679031391511 72.41618632926678 39.13 42 0 21199.031354940067 200.0 9.985 0.04
0.525679031391511 73.36196626697144 41.04 45 0 19181.142990055872 200.0 10.3925 0.05
0.525679031391511 67.69683017120369 39.81 55 0 16284.377347577089 200.0 10.3225 0.060000000000000005
0.523786647842513 73.88290818875831 43.14 94 0 17843.087808058328 200.0 10.8175 0.07
0.523786647842513 70.56383296829468 41.49 74 0 17716.198332963166 200.0 10.7725 0.01
0.472264335235992 118.07042688858581 45.36 126 0 121243.30373376916 200.0 11.065 0.01
0.472264335235992 109.89958112293004 45.84 74 0 54067.53538301385 200.0 11.18 0.01
0.472264335235992 85.00711596642498 47.46 57 0 21867.023197499217 200.0 11.3775 0.01
0.472264335235992 154.9671598278287 50.07124681933842 60 7 278535.7391952135 200.0 11.633587786259541 0.01
0.472264335235992 129.5551098726707 53.31829573934837 71 1 136252.9092455659 200.0 11.912280701754385 0.01
0.472264335235992 1007.3930358076094 51.72750642673522 53 11 2.0737805879934725E8 200.0 11.735218508997429 0.02
0.472264335235992 1849.7911413643435 57.48453608247423 74 12 7.933753501278759E8 200.0 12.224226804123711 0.03
0.4608456870167104 1159.53738987499 55.364583333333336 62 16 1.540738298656397E8 200.0 11.9765625 0.04
0.33306441555320176 380.49687206582234 61.25 145 0 2908192.8034420297 200.0 12.4775 0.01
0.33306441555320176 790.0026439112966 61.63451776649746 113 6 7.360957701959725E7 200.0 12.50761421319797 0.01
0.2690547796760312 2142.423531319683 64.61964735516372 141 3 8.58331924741282E8 200.0 12.773299748110832 0.01
0.2690547796760312 497.0406395616259 57.496221662468514 81 3 1.7195665746946465E7 200.0 12.05037783375315 0.01
0.2690547796760312 1597.8454329613796 56.68020304568528 74 6 7.277858282008212E8 200.0 11.939086294416244 0.01
0.2690547796760312 1844.2372833678214 54.76 117 0 6.48813890694014E8 200.0 11.7925 0.01
0.2690547796760312 172.7186134094079 55.95 146 0 163098.2769647279 200.0 11.9725 0.01
0.2690547796760312 227.05364340255798 58.14 163 0 1568357.2473507577 200.0 11.62 0.02
0.2425979017261076 111.01072742603965 60.05 125 0 89209.08728169432 200.0 11.785 0.03
0.2086586374050199 110.7970957178931 64.39 139 0 78938.69647176837 200.0 11.97 0.01
0.2086586374050199 7037.564597210462 63.4070351758794 249 2 9.06257353490793E9 200.0 11.796482412060302 0.01
0.2086586374050199 444.2233528528284 65.32663316582915 192 2 3.352341725536465E7 200.0 11.874371859296483 0.01
0.2062190907316601 460.2484364602669 68.52525252525253 165 4 1.513711788309668E7 200.0 11.883838383838384 0.01
