#bestFitness averageFitness averageUsedGeneLength time invalids varFitness aveLength aveDerivationTreeDepth SlopeMutRate
34.90421248000005 8553.710001729964 15.806094182825484 1500 39 8.1409681371049E9 200.0 4.119113573407202 0.0
29.1452608270122 450.5094122933083 13.94 782 0 27005.122019652466 200.0 3.9725 0.0
5.77621248000001 356.73192712926385 14.44 453 0 28341.553137319584 200.0 4.1725 0.0
5.77621248000001 300.22725565590935 16.14 281 0 51141.423509971035 200.0 4.595 0.0
5.77621248000001 215.15961481215817 16.6 190 0 26757.83323871892 200.0 4.825 0.0
5.77621248000001 152.05817759609994 16.43 169 0 18608.308953337266 200.0 4.95 0.01
5.77621248000001 123.15575404688835 17.1 145 0 22960.845789026996 200.0 5.1825 0.01
5.77621248000001 84.92396534754181 17.76 170 0 12731.640725091127 200.0 5.34 0.02
5.394772480000003 74.27808657187263 19.48 204 0 15535.220475620976 200.0 5.79 0.03
5.394772480000003 74.11416172352118 19.6 218 0 17945.333064755934 200.0 5.96 0.01
5.394772480000003 60.87044118173554 20.2 201 0 11358.459019403721 200.0 6.175 0.01
4.532799999999996 63.11407085500539 20.19 173 0 13690.105425424033 200.0 6.26 0.01
4.532799999999996 65.2100722076482 20.54 115 0 14783.951220374505 200.0 6.3775 0.01
4.532799999999996 66.26673878352513 21.58 140 0 17391.619854922734 200.0 6.6025 0.01
4.532799999999996 69.31403163518122 23.0 204 0 20816.475101201268 200.0 6.9075 0.01
4.532799999999996 65.50280559698136 23.18 168 0 14983.017361975732 200.0 6.985 0.01
1.0 69.33246475389475 24.11 149 0 21254.39721967178 200.0 7.1525 0.02
1.0 69.05726461629978 25.07 180 0 22323.49952496878 200.0 7.33 0.01
1.0 71.81073778669717 26.21 208 0 21240.425761929386 200.0 7.5525 0.01
1.0 51.497812383185426 26.13 187 0 12089.471975182754 200.0 7.5875 0.01
1.0 53.47981338653909 26.94 210 0 11696.725172065953 200.0 7.73 0.01
1.0 56.274804897178775 28.61 147 0 15679.013174953661 200.0 8.095 0.02
1.0 77.91167035022043 29.67 159 0 31935.1257468371 200.0 8.2825 0.03
1.6566079009641248E-29 64.06428207838043 30.84 166 0 17702.01425910067 200.0 8.5125 0.04
1.6566079009641248E-29 89.38266456991613 31.68 166 0 41442.32810608864 200.0 8.6775 0.01
1.6566079009641248E-29 65.15686508214084 33.59 196 0 20909.89649400335 200.0 9.0525 0.01
1.6566079009641248E-29 83.19708840581818 35.29 169 0 32582.76156296183 200.0 9.4175 0.01
1.6566079009641248E-29 74.59130289376057 35.58 219 0 25502.000412690268 200.0 9.4925 0.01
1.6566079009641248E-29 55.283186932425295 36.43 138 0 18592.509906124524 200.0 9.685 0.02
1.6566079009641248E-29 78.69214509203012 36.98 172 0 31827.720609881766 200.0 9.7875 0.03
1.6566079009641248E-29 83.27880380486812 37.34 180 0 36915.70378200247 200.0 9.855 0.04
1.6566079009641248E-29 88.72935370870374 37.67 201 0 40352.48029911177 200.0 9.9325 0.05
7.099748146989106E-30 74.1719986146312 37.85 133 0 32525.035605371762 200.0 9.9675 0.060000000000000005
7.099748146989106E-30 69.07661087719055 37.8 86 0 23171.715987586238 200.0 9.96 0.01
7.099748146989106E-30 67.0040166650232 37.9 94 0 25254.030450942017 200.0 9.98 0.01
7.099748146989106E-30 86.80432418179812 37.8 102 0 44425.53704402896 200.0 9.96 0.01
7.099748146989106E-30 52.9589758980487 37.8 126 0 14296.631575561501 200.0 9.96 0.01
7.099748146989106E-30 55.88799988202508 37.96 94 0 16217.908873940853 200.0 9.9925 0.02
7.099748146989106E-30 67.79336894275471 37.97 120 0 27659.54874234606 200.0 9.9925 0.03
7.099748146989106E-30 81.9404272804369 38.04 70 0 40134.63937208005 200.0 10.005 0.04
7.099748146989106E-30 71.39002086482077 38.0 92 0 25094.516885234527 200.0 10.0 0.05
7.099748146989106E-30 76.20370982288685 38.0 81 0 32903.27094476888 200.0 10.0 0.060000000000000005
7.099748146989106E-30 76.96919325567312 38.0 69 0 33186.28551395231 200.0 10.0 0.07
3.993608332681372E-30 84.8410878389492 38.0 66 0 37446.456175586834 200.0 10.0 0.08
3.993608332681372E-30 67.46659434919009 38.0 60 0 29532.528944465852 200.0 10.0 0.01
3.993608332681372E-30 55.54351407143849 38.0 131 0 21393.123449479583 200.0 10.0 0.01
3.993608332681372E-30 59.225452360854376 38.0 122 0 21735.064727321682 200.0 10.0 0.01
3.993608332681372E-30 58.96650175297171 38.0 150 0 25576.104256727034 200.0 10.0 0.01
3.993608332681372E-30 84.98327237980908 38.0 82 0 39405.69867555905 200.0 10.0 0.02
3.993608332681372E-30 83.51187632208246 38.0 55 0 38475.70018377699 200.0 10.0 0.03
3.993608332681372E-30 68.25728452546116 38.0 85 0 24627.825231674116 200.0 10.0 0.04
3.993608332681372E-30 77.42691106086251 38.0 90 0 31313.4107423582 200.0 10.0 0.05
3.993608332681372E-30 72.78706523087774 38.0 83 0 32337.96803208258 200.0 10.0 0.060000000000000005
3.993608332681372E-30 112.83015112396347 38.0 77 0 73781.46407448426 200.0 10.0 0.07
3.993608332681372E-30 100.11493898820407 38.0 75 0 49912.3704049735 200.0 10.0 0.08
3.993608332681372E-30 109.30136968079015 38.0 56 0 62928.99447362828 200.0 10.0 0.09
3.993608332681372E-30 85.6296422135404 38.0 84 0 38639.446013000386 200.0 10.0 0.09999999999999999
