#bestFitness averageFitness averageUsedGeneLength time invalids varFitness aveLength aveDerivationTreeDepth SlopeMutRate
34.90421248000005 918.988208249341 19.067385444743934 1471 29 1.038671072501847E7 200.0 4.703504043126685 0.0
9.641812480000006 456.12482619881615 13.71 875 0 21224.572082040097 200.0 4.0 0.0
9.641812480000006 388.7904434445419 14.14 405 0 24148.84916601141 200.0 4.09 0.0
9.641812480000006 333.03240597572506 17.03 326 0 37577.53395157336 200.0 4.585 0.0
7.449119596574075 257.62814796041556 19.42 263 0 30324.477717470167 200.0 5.08 0.0
6.77621248000001 185.79546731527577 19.82 193 0 27056.370902424955 200.0 5.345 0.01
5.394772480000002 139.11523733097846 19.34 349 0 37494.89400393021 200.0 5.4725 0.01
5.394772480000002 118.95416711733087 21.35 199 0 29575.257919536598 200.0 5.8325 0.01
5.394772480000002 109.07277695835222 22.87 180 0 28702.167427519023 200.0 6.045 0.01
5.394772480000002 102.3798799194844 23.45 201 0 29890.706890201727 200.0 6.225 0.01
5.394772480000002 157.32550003369604 26.13 210 0 73130.88244907584 200.0 6.7425 0.01
5.087881521464957 124.36177896779742 24.93 201 0 42195.01609477421 200.0 6.7125 0.02
4.501411678909774 137.41886703736282 25.83 301 0 66521.23124592038 200.0 7.0175 0.01
4.501411678909774 122.65268807114327 26.58 287 0 40350.417641382606 200.0 7.1825 0.01
4.501411678909774 134.01488458316425 26.46 181 0 55427.87137093093 200.0 7.2275 0.01
4.501411678909774 113.07168064465382 27.53 171 0 37952.10179154631 200.0 7.4475 0.01
4.335978072703046 178.87724536528665 29.02 187 0 152284.68066757798 200.0 7.615 0.01
1.7429324800000008 192.28544224806296 29.36 181 0 147706.51305420074 200.0 7.6175 0.01
1.7429324800000008 156.69618464155977 29.91 149 0 117076.96805888785 200.0 7.6875 0.01
1.7429324800000008 122.13840962365347 31.5 214 0 48756.70526033135 200.0 7.8475 0.01
1.7429324800000008 130.6929589475542 33.48 206 0 55600.626813371826 200.0 8.04 0.01
1.7429324800000008 116.38074899800262 33.81 219 0 49480.589576817474 200.0 8.1125 0.01
1.7429324800000008 214.81682867236435 33.29 250 0 193215.90421092775 200.0 8.165 0.02
1.7429324800000008 168.82900532011655 32.98 239 0 127734.76017090547 200.0 8.1725 0.03
1.7429324800000008 149.23585349690086 31.47 152 0 108845.04367084357 200.0 8.0175 0.04
1.7429324800000008 137.4584454171676 32.76 154 0 78529.56715835526 200.0 8.1925 0.05
1.7429324800000008 123.00136295318538 32.91 148 0 67242.8737170973 200.0 8.2475 0.060000000000000005
1.7429324800000008 126.64162541776244 32.5 107 0 70215.87933232843 200.0 8.2575 0.07
1.7429324800000008 148.6376192415096 32.45 139 0 101606.93599544838 200.0 8.195 0.08
1.7429324800000008 138.18209903041847 31.19 101 0 111019.05269420272 200.0 8.1125 0.09
1.7429324800000008 149.91334802129128 30.53 78 0 109504.37377366808 200.0 8.09 0.09999999999999999
1.7429324800000008 168.68943815717228 30.76 71 0 160825.0241451767 200.0 8.0675 0.10999999999999999
0.7429324800000019 112.88338993181526 30.08 73 0 62390.125976531825 200.0 8.0225 0.11999999999999998
0.7429324800000019 72.93493000421095 30.58 99 0 33255.17959272573 200.0 8.1125 0.01
0.7429324800000019 77.01330014306349 29.91 74 0 32156.52982945045 200.0 7.9925 0.01
0.7429324800000019 90.15144193041516 29.85 41 0 43748.06115612477 200.0 8.0 0.01
0.7429324800000019 76.16346420975248 29.99 32 0 37811.407199959845 200.0 8.01 0.01
0.7429324800000019 76.15442776705358 30.24 63 0 38001.52934097887 200.0 8.025 0.02
0.7429324800000019 87.37880460530592 29.98 38 0 40906.47584362512 200.0 8.0 0.03
0.7429324800000019 70.2744209930643 30.0 54 0 22700.208819330404 200.0 8.0 0.04
0.7429324800000019 79.53376889414511 30.0 51 0 37263.57187490745 200.0 8.0 0.05
0.7429324800000019 72.39299905539299 30.0 101 0 27258.58495019835 200.0 8.0 0.060000000000000005
